model,step,best_val_loss,mode,anchor,prompt,horizon,gt_nll,gt_top1,valid_word_ratio,malformed_word_ratio
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_1,"       *       *

_later._--dr. ",0,5.743218898773193,0,0.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_1,"       *       *

_later._--dr. ",10,5.227217197418213,0,0.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_1,"       *       *

_later._--dr. ",25,0.18085594475269318,1,0.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_1,"       *       *

_later._--dr. ",50,5.062983989715576,0,0.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_1,"       *       *

_later._--dr. ",100,5.551722049713135,0,0.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_1,"       *       *

_later._--dr. ",250,0.19757433235645294,1,0.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_1,"       *       *

_later._--dr. ",500,0.19757433235645294,1,0.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_2,"accept these as
proofs of so wil",0,2.271493911743164,0,0.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_2,"accept these as
proofs of so wil",10,5.757501125335693,0,0.6666666666666666,0.33333333333333337
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_2,"accept these as
proofs of so wil",25,5.905957221984863,0,0.8571428571428571,0.1428571428571429
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_2,"accept these as
proofs of so wil",50,6.461967468261719,0,0.9230769230769231,0.07692307692307687
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_2,"accept these as
proofs of so wil",100,4.704044342041016,0,0.96,0.040000000000000036
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_2,"accept these as
proofs of so wil",250,5.678225994110107,0,0.9841269841269841,0.015873015873015928
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_2,"accept these as
proofs of so wil",500,4.749565124511719,0,0.992,0.008000000000000007
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_3,uty. everyone brightened at the ,0,2.583617925643921,0,0.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_3,uty. everyone brightened at the ,10,5.152578830718994,0,1.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_3,uty. everyone brightened at the ,25,6.784525394439697,0,1.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_3,uty. everyone brightened at the ,50,0.571498453617096,1,1.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_3,uty. everyone brightened at the ,100,3.7076544761657715,0,1.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_3,uty. everyone brightened at the ,250,4.994410037994385,0,1.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_3,uty. everyone brightened at the ,500,2.4366581439971924,0,1.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_4, with your husband. i can’t unde,0,2.317318916320801,0,0.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_4, with your husband. i can’t unde,10,6.086126804351807,0,1.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_4, with your husband. i can’t unde,25,6.023785591125488,0,1.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_4, with your husband. i can’t unde,50,3.494143486022949,0,1.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_4, with your husband. i can’t unde,100,2.295128583908081,0,1.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_4, with your husband. i can’t unde,250,5.9676618576049805,0,1.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_4, with your husband. i can’t unde,500,5.676128387451172,0,1.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_5, from an ensign and became emper,0,3.096998691558838,0,0.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_5, from an ensign and became emper,10,5.535486698150635,0,0.6666666666666666,0.33333333333333337
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_5, from an ensign and became emper,25,6.058841228485107,0,0.8571428571428571,0.1428571428571429
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_5, from an ensign and became emper,50,5.200212001800537,0,0.9230769230769231,0.07692307692307687
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_5, from an ensign and became emper,100,3.4911065101623535,0,0.9615384615384616,0.038461538461538436
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_5, from an ensign and became emper,250,4.395368576049805,0,0.9841269841269841,0.015873015873015928
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_5, from an ensign and became emper,500,6.593456268310547,0,0.9920634920634921,0.007936507936507908
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_6,"sin of the countess’, a man with",0,0.76985764503479,1,0.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_6,"sin of the countess’, a man with",10,5.204830169677734,0,1.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_6,"sin of the countess’, a man with",25,6.049013137817383,0,1.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_6,"sin of the countess’, a man with",50,0.568906307220459,1,1.0,0.0
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_6,"sin of the countess’, a man with",100,3.6432392597198486,0,1.0,0.0
